name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
PARTIDA AÑEJO CRISTALINO TEQUILA,TEQUILA AÑEJO,AMERICAN OAK EX-BOURBON (MEDIUM TOAST),"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,PARTIDA ,1,4.5,HERBAL,STEPHANIE MORENO,87,0,50,35,55,30,50,45,40,0,0,0,30,50,0
PARTIDA ROBLE FINO REPOSADO,TEQUILA REPOSADO,EX-BOURBON AND EX-SINGLE MALT SHERRY-SEASONED CASKS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,43.0,4,PARTIDA ,1,2.5,SWEET & RICH,AMANDA SCHUSTER,87,5,20,20,25,10,5,70,70,0,5,10,10,50,5
DOÑA VEGA MEZCAL TOBALÁ,MEZCAL JOVEN,UNAGED,MEXICO,NAS,43.0,4,DOÑA VEGA ,1,4.75,MINERAL & SMOKY,JAKE EMEN,87,70,30,40,60,40,10,30,50,70,0,20,50,10,20
SIEMPRE TEQUILA PLATA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,SIEMPRE ,40,4.24,FRUITY,AMANDA SCHUSTER,87,0,10,20,15,0,5,30,25,15,15,10,10,35,5
KIMO SABE MEZCAL JOVEN: ALBEDO,MEZCAL JOVEN,unknown,MEXICO,NAS,43.0,2,KIMO SABE ,10,3.89,SWEET,AMANDA SCHUSTER,87,25,10,30,20,5,5,50,70,20,10,10,20,40,15
MEZCAL VIEJO INDECENTE ENSAMBLE,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,48.0,3,VIEJO INDECENTE ,1,5.0,RICH,AMANDA SCHUSTER,87,5,20,50,40,10,25,60,40,30,0,0,10,30,0
6 DEGREE TEQUILA BLANCO,TEQUILA BLANCO,STAINLESS STEEL,"JALISCO, MEXICO",NAS,40.0,2,SIX DEGREE ,1,5.0,SWEET & RICH,AMANDA SCHUSTER,87,5,5,30,40,20,10,60,70,15,0,0,20,50,0
MEZCAL NUESTRA SOLEDAD LA COMPAÑIA EJUTLA,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,46.4,2,MEZCAL NUESTRA SOLEDAD ,18,3.91,RICH,JACOB GRIER,87,0,20,20,10,40,20,40,10,30,10,10,10,25,0
DEL MAGUEY CREMA DE MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,40.0,2,DEL MAGUEY ,48,3.54,RICH & HERBAL,STEPHANIE MORENO,87,45,25,30,70,30,10,75,60,15,10,15,20,65,0
ALACRÁN JOVEN MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,46.0,2,AUTÉNTICO ALACRÁN ,20,4.34,UMAMI & HERBAL,RON BECHTOL,87,60,50,50,60,40,10,40,20,10,20,60,0,30,10
TATTOO TEQUILA BLANCO,TEQUILA BLANCO,unknown,MEXICO,NAS,40.0,2,TATTOO TEQUILA ,7,4.5,SWEET,AMANDA SCHUSTER,87,0,5,30,20,0,0,40,50,10,0,0,25,40,15
EMBAJADOR PLATINUM TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,EMBAJADOR ,3,3.92,HERBAL,AMANDA SCHUSTER,87,0,15,20,60,0,0,30,30,20,10,0,50,30,0
DON PILAR BLANCO TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,DON PILAR ,unknown,unknown,RICH & SWEET,AMANDA SCHUSTER,87,0,15,30,10,5,0,65,60,10,0,5,20,40,0
MAYALEN AGUA DE JUVENTUD WILD CUPREATA MEZCAL,MEZCAL JOVEN,unknown,"GUERRERO , MEXICO",NAS,46.0,3,MAYALEN ,3,3.67,RICH,AMANDA SCHUSTER,87,10,5,25,40,0,0,40,30,20,0,0,10,30,0
MEZCAL MARCA NEGRA TEPEZTATE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,47.3,4,MARCA NEGRA ,8,3.68,EARTHY,AMANDA SCHUSTER,87,50,60,40,20,20,10,50,20,30,0,5,5,15,0
