abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
42.0,3,10,4.28,93,15,20,88,60,5,0,75,70,80,80,15,10,70,20,False,True,False,False,False,False,False,False,False,False
40.0,2,37,4.17,93,0,51,61,67,70,11,65,72,71,42,61,22,72,51,False,False,False,False,False,False,True,False,False,False
40.0,4,10,4.45,93,20,30,45,40,20,5,40,25,5,10,10,5,25,20,False,False,False,False,False,False,False,False,False,True
48.1,3,19,4.17,93,40,20,40,25,5,0,50,50,20,20,0,20,60,30,False,True,False,False,False,False,False,False,False,False
40.0,2,6,4.88,93,15,10,30,5,10,0,75,70,0,0,0,20,40,0,False,False,False,False,False,True,False,False,False,False
47.0,4,18,4.49,93,20,20,30,10,30,0,60,20,30,0,0,10,20,0,False,True,False,False,False,False,False,False,False,False
40.0,4,3,4.31,93,10,20,70,10,30,0,50,40,10,0,0,5,45,25,False,False,False,False,False,True,False,False,False,False
48.0,4,13,4.55,93,60,80,65,70,30,25,45,65,70,65,75,10,60,70,False,True,False,False,False,False,False,False,False,False
40.0,4,114,4.08,93,15,30,35,35,30,15,45,50,15,10,10,35,15,0,False,False,False,False,False,True,False,False,False,False
40.0,3,23,4.23,93,5,10,20,20,5,5,50,25,15,5,12,15,30,5,False,False,False,False,False,False,False,False,False,True
40.0,3,5,4.3,93,10,15,20,15,15,5,30,30,5,5,15,5,20,30,False,False,False,False,False,True,False,False,False,False
43.5,5,2,5.0,93,0,10,15,10,20,0,50,50,10,0,5,0,15,0,False,False,False,False,False,False,False,True,False,False
48.6,4,22,4.33,93,25,20,30,30,25,5,25,35,15,10,20,5,35,25,False,True,False,False,False,False,False,False,False,False
51.6,4,2,3.5,93,70,85,80,65,85,55,80,40,40,60,80,35,20,40,False,True,False,False,False,False,False,False,False,False
